url,status,final_url,redirects,bytes,file,content_type
https://cofar.cl/product/012389992/topivitae-50mg-28-cap,200,https://cofar.cl/product/012389992/topivitae-50mg-28-cap,,194671,product_012389992_topivitae-50mg-28-cap.html,text/html; charset=utf-8
https://cofar.cl/product/010160331/sifrol-er-0-75mg-30-comp,200,https://cofar.cl/product/010160331/sifrol-er-0-75mg-30-comp,,194579,product_010160331_sifrol-er-0-75mg-30-comp.html,text/html; charset=utf-8
https://cofar.cl/product/012380002/arivitae-aripiprazol-10mg-28-comprimidos,200,https://cofar.cl/product/012380002/arivitae-aripiprazol-10mg-28-comprimidos,,194697,product_012380002_arivitae-aripiprazol-10mg-28-comprimidos.html,text/html; charset=utf-8
https://cofar.cl/product/108277576/cimzia-200mg-ml-2-jp,200,https://cofar.cl/product/108277576/cimzia-200mg-ml-2-jp,,194579,product_108277576_cimzia-200mg-ml-2-jp.html,text/html; charset=utf-8
https://cofar.cl/product/100290001/rixathon-500mg-50ml-1-amp,200,https://cofar.cl/product/100290001/rixathon-500mg-50ml-1-amp,,194661,product_100290001_rixathon-500mg-50ml-1-amp.html,text/html; charset=utf-8
https://cofar.cl/product/013530011/rapamune-1mg-ml-60ml-sol-oral,200,https://cofar.cl/product/013530011/rapamune-1mg-ml-60ml-sol-oral,,194703,product_013530011_rapamune-1mg-ml-60ml-sol-oral.html,text/html; charset=utf-8
https://cofar.cl/product/052520001/glucagen-hipokit-1mg-1-pvo-iny,200,https://cofar.cl/product/052520001/glucagen-hipokit-1mg-1-pvo-iny,,194703,product_052520001_glucagen-hipokit-1mg-1-pvo-iny.html,text/html; charset=utf-8
https://cofar.cl/product/103260004/dupixent-300mg-2ml-2-jp,200,https://cofar.cl/product/103260004/dupixent-300mg-2ml-2-jp,,194649,product_103260004_dupixent-300mg-2ml-2-jp.html,text/html; charset=utf-8
https://cofar.cl/product/011720100/oltan-d-40-12-5-30-comp,200,https://cofar.cl/product/011720100/oltan-d-40-12-5-30-comp,,194665,product_011720100_oltan-d-40-12-5-30-comp.html,text/html; charset=utf-8
https://cofar.cl/product/012835986/corodin-100mg-30-comp,200,https://cofar.cl/product/012835986/corodin-100mg-30-comp,,194551,product_012835986_corodin-100mg-30-comp.html,text/html; charset=utf-8
https://cofar.cl/product/018279012/ismo-20mg-30-comp,200,https://cofar.cl/product/018279012/ismo-20mg-30-comp,,194622,product_018279012_ismo-20mg-30-comp.html,text/html; charset=utf-8
https://cofar.cl/product/012569990/lipitor-20mg-x90-comp-rec,200,https://cofar.cl/product/012569990/lipitor-20mg-x90-comp-rec,,194695,product_012569990_lipitor-20mg-x90-comp-rec.html,text/html; charset=utf-8
https://cofar.cl/product/010170072/atenolol-50mg-20-comp,200,https://cofar.cl/product/010170072/atenolol-50mg-20-comp,,194665,product_010170072_atenolol-50mg-20-comp.html,text/html; charset=utf-8
https://cofar.cl/product/010871050/nervoton-compuesto-de-vitaminas-b1-b2-b6-b12-y-pp-120-ml-solucion-oral,200,https://cofar.cl/product/010871050/nervoton-compuesto-de-vitaminas-b1-b2-b6-b12-y-pp-120-ml-solucion-oral,,194973,product_010871050_nervoton-compuesto-de-vitaminas-b1-b2-b6-b12-y-pp-120-ml-solucion-oral.html,text/html; charset=utf-8
https://cofar.cl/product/011050004/biocare-probioticos-y-vitamina-d3-biomelts-28-sobres,200,https://cofar.cl/product/011050004/biocare-probioticos-y-vitamina-d3-biomelts-28-sobres,,194409,product_011050004_biocare-probioticos-y-vitamina-d3-biomelts-28-sobres.html,text/html; charset=utf-8
https://cofar.cl/product/012502011/vitde-800-vitamina-d-como-colecalciferol-800-ui-30-comprimidos,200,https://cofar.cl/product/012502011/vitde-800-vitamina-d-como-colecalciferol-800-ui-30-comprimidos,,194853,product_012502011_vitde-800-vitamina-d-como-colecalciferol-800-ui-30-comprimidos.html,text/html; charset=utf-8
